fyear,at,bkvlps,invt,Lt,rectr,cogs,dvt,ebit,gp,ni,oiadp,revt,dvpsx_f,mkvalt,prch_f,Bankrupt
2002,269.447,6.0676,50.715,222.071,68.245,353.375,0,-15.011,34.865,-28.08,-15.011,388.24,0,1.9308,4.05,yes
2002,286.205,10.2863,18.173,117.818,69.033,66.563,0,38.273,121.56,10.497,38.273,188.123,0,322.8164,44.45,yes
2002,450.21,10.52,51.983,358.865,70.941,490.474,0,-6.134,85.686,-21.085,-6.134,576.16,0,27.7856,8.42,yes
2002,595.522,10.2135,151.586,366.485,71.292,462.491,0,45.393,150.458,-13.321,45.393,612.949,0,61.6688,5.5,yes
2002,764.098,10.1043,65.456,506.529,74.025,694.516,4.078,39.993,120.416,9.003,39.993,814.932,0.16,107.0622,11.8,yes
2002,158.85,5.7607,7.538,39.315,74.694,216.524,0,25.24,103.972,14.079,25.24,320.496,0,163.8805,16.72,yes
2002,395.225,1.7712,22.204,268.298,74.878,167.661,0,-53.233,91.834,-135.869,-53.233,259.495,0,208.193,20.749,yes
2002,848.136,-10.2005,51.233,885.66,86.377,1037.537,5.72,-70.136,239.833,-169.264,-70.136,1277.37,0,53.7661,16.3,yes
2002,406.156,-4.3816,67.05,1248.655,87.114,348.093,0,-96.24,332.256,-408.16,-96.24,680.349,0,11.7292,1.7,yes
2002,282.201,4.9014,41.847,210.454,92.85,302.729,0,8.489,70.167,-1.378,8.489,372.896,0,87.3889,8.95,yes
2002,2225.4,-13.5047,254.9,3189.2,103.1,1408.2,0,-154.8,61.4,-468.7,-154.8,1469.6,0,4.6624,1.79,yes
2002,220.923,1.6115,13.16,134.717,103.498,309.338,0,16.941,124.132,1.801,16.941,433.47,0,30.7756,0.79,yes
2002,985.214,8.6602,107.644,742.833,106.149,669.799,0,18.693,223.07,-17.92,18.693,892.869,0,264.5584,13.99,yes
2002,708.1,-3.3091,113.6,835.5,117.3,642.3,0,60.7,208.5,-13.6,60.7,850.8,0,115.5,5.4,yes
2002,913.563,-2.0962,131.363,1026.293,118.115,863.801,0,-26.621,129.535,-100.77,-26.621,993.336,0,3.2267,1.35,yes
2002,645.796,19.9613,67.824,115.365,121.179,609.684,12.834,109.467,172.915,78.25,109.467,782.599,0.47,1099.0593,53.8,no
2002,523.671,273.6718,94.768,434.454,127.07,702.272,0,-102.762,151.803,-443.218,-102.762,854.075,0,0.0098,7.9,yes
2002,351.977,1.8744,0,212.035,128.643,454.819,0,30.754,315.392,-9.783,30.754,770.211,0,89.0904,3.3,yes
2002,734.057,-3.989,144.01,781.913,138.554,585.806,0,16.75,81.105,-29.364,16.75,666.911,0,0.5999,0.75,yes
2002,924.566,3.088,240.521,813.598,143.746,1866.131,0,-28.206,452.162,-70.739,-28.206,2318.293,0,181.1124,11.22,yes
2002,1352.9,31.4484,102.4,876.3,144.1,616,13.3,64.2,206.2,21.9,64.2,822.2,0.88,270.5168,30.8,yes
2002,1441.218,0.3503,0,1397.494,153.196,407.17,0,-356.489,363.812,-572.67,-356.489,770.982,0,83.6361,9.6,yes
2002,956.985,-20.1421,104.718,1467.306,167.003,851.274,0,53.167,277.259,-360.649,53.167,1128.533,0,0.38,2.2,yes
2002,1645.691,7.2707,79.728,1319.934,182.738,1734.494,12.539,96.769,1791.286,27.45,96.769,3525.78,0.28,581.5559,29.22,yes
2002,795.656,6.3993,27.067,444.347,185.298,224.874,0,178.745,1027.322,115.595,178.745,1252.196,0,1220.9315,28.5,yes
2002,2840.815,1.7556,460.116,2640.932,185.983,1766.873,22.698,168.061,779.999,-283.507,168.061,2546.872,0.2,677.4313,13,yes
2002,22384,0.1391,0,21267,259,2780,3,349,1786,-2514,349,4566,0,347.7106,16.85,yes
2002,2840.107,-3.4718,0,2976.551,259.082,620.997,0.016,149.139,299.283,-178.895,149.139,920.28,0,0.3986,5.98,yes
